id,type,domain,enabled,date_added,date_modified,comment
66,0,www.storage.googleapis.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
67,0,accuweather.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
68,0,plus.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
69,0,bbc.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
70,0,www.squidblacklist.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
71,0,hosts.herndl.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
72,0,kb.adguard.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
73,0,dl.dropboxusercontent.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
74,0,mem.gfx.ms,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
75,0,www.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
76,0,netflix.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
77,0,auth.gfx.ms,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
78,0,i.i.cbsi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
79,0,calendar.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
80,0,groups.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
81,0,www.googleapis.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
82,0,cloudflare.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
83,0,lifehack.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
84,0,filters.adtidy.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
85,0,theverge.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
86,0,cdn.vidible.tv,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
87,0,vidible.tv,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
88,0,www.aolcdn.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
89,0,www.o.aolcdn.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
90,0,o.aolcdn.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
91,0,aolcdn.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
92,0,askvg.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
93,0,www.askvg.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
94,0,www.cloudflare.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
95,0,www.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
96,0,static.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
97,0,cdn.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
98,0,api.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
99,0,publishers.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
100,0,www.developers.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
101,0,services.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
102,0,blog.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
103,0,about.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
104,0,www.services.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
105,0,www.cdn.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
106,0,www.cdn-static-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
107,0,help.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
108,0,jobs.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
109,0,www.legal.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
110,0,www.static.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
111,0,www.about.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
112,0,www.blog.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
113,0,medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
114,0,legal.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
115,0,www.cdn-images-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
116,0,cdn-images-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
117,0,csp.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
118,0,glyph.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
119,0,www.o1.email.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
120,0,www.o2.email.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
121,0,www.jobs.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
122,0,www.csp.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
123,0,www.glyph.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
124,0,brands.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
125,0,cdn-audio-1.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
126,0,cdn-images-2.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
127,0,collateral.medium.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
